Date,Current Ratio,Quick Ratio,Current Assets,Long-term debt to equity ratio,Share Holder Equity,Debt to Equity Ratio,Percentage of net profit to sale,Percentage of operating profit to sale,Percentage of Gross profit to sale,ROA,ROE,EPS,P/E,P/S,Stock book value,Stock Price,ROI,MarketReturn,Company,RealReturn,Risk
2019-09-30,2.47,1.67,1324,2783.0,5542,0.5022,0.1244,0.18,0.2564,0.0584,0.1127,1.62,30.3,3.8,3.31,140.6,0.1072,2976.739990234375,VMC,0.21991295999999982,0.3818376618407363
2019-06-30,1.89,1.23,1255,2782.0,5371,0.518,0.1212,0.1754,0.2538,0.0557,0.1078,1.48,32.67,4.07,3.52,147.36,0.1018,2941.760009765625,VMC,0.20889495999999985,0.3252691193458125
2019-03-31,1.64,0.99,1084,2781.0,5217,0.5331,0.1162,0.1702,0.2504,0.0528,0.1022,0.48,31.56,3.83,3.29,133.49,0.0972,2834.39990234375,VMC,0.20165343999999985,0.14142135623730775
2018-12-31,1.79,1.08,1079,2779.0,5203,0.5341,0.1178,0.1705,0.251,0.0529,0.1018,0.93,29.14,3.39,2.91,114.82,0.0952,2506.85009765625,VMC,0.19475367999999982,0.30405591591021647
2018-09-30,1.7,1.11,1176,2778.0,5146,0.5398,0.1686,0.166,0.2498,0.0745,0.1436,1.34,24.82,2.92,2.42,95.55,0.0909,2913.97998046875,VMC,0.18831736999999982,0.1131370849898477
2018-06-30,1.46,0.96,1183,2777.0,5021,0.5531,0.1575,0.1665,0.2492,0.068,0.1327,1.19,20.05,3.37,2.75,107.25,0.0893,2718.3701171875,VMC,0.18243514999999988,0.2687005768508874
2018-03-31,1.73,1.05,1011,2776.0,4913,0.565,0.1542,0.164,0.2515,0.0638,0.1273,0.39,25.76,4.05,3.27,124.17,0.0855,2640.8701171875,VMC,0.17928719999999987,0.06363961030678918
2017-12-31,2.67,1.8,1180,2813.0,4969,0.5661,0.1548,0.164,0.2555,0.0641,0.1282,2.43,24.25,3.73,2.95,109.61,0.0864,2673.610107421875,VMC,0.1860228799999999,0.37476659402886975
2017-09-30,4.22,3.34,1747,2810.0,4685,0.5998,0.1022,0.1714,0.2588,0.0424,0.0842,0.81,27.57,4.26,3.27,122.96,0.0917,2519.360107421875,VMC,0.19552066999999984,0.24041630560342606
2017-06-30,2.36,1.96,2185,2809.0,4602,0.6104,0.1135,0.1755,0.2649,0.0474,0.0923,0.89,39.97,4.08,3.23,114.32,0.0951,2423.409912109375,VMC,0.20658117999999992,0.4737615433949868
2017-03-31,3.21,2.2,1158,2329.0,4521,0.5152,0.1172,0.1851,0.2709,0.0502,0.094,0.33,39.1,4.42,3.47,120.82,0.1018,2362.719970703125,VMC,0.21506503999999982,0.07071067811865576
2016-12-31,3.06,2.13,1137,1983.0,4572,0.4337,0.1169,0.1854,0.2753,0.0504,0.0935,0.82,36.88,4.29,3.35,114.68,0.1028,2238.830078125,VMC,0.2189248399999999,0.1767766952966369
2016-09-30,2.98,2.05,1077,1984.0,4504,0.4405,0.1107,0.1898,0.2838,0.0477,0.0887,1.05,40.71,4.5,3.44,118.88,0.1053,2168.27001953125,VMC,0.21980907999999988,0.12020815280171429
2016-06-30,3.08,2.03,1023,1983.0,4479,0.4427,0.1048,0.1841,0.2778,0.0456,0.0853,0.92,39.37,4.1,3.17,107.87,0.1036,2098.860107421875,VMC,0.20899379999999979,0.5727564927611026
2016-03-31,2.83,1.88,1008,1981.0,4421,0.4481,0.0849,0.1704,0.2663,0.0364,0.0689,0.3,43.66,4.29,3.38,113.96,0.0955,2059.739990234375,VMC,0.19212309999999988,0.51618795026618
2015-12-31,3.07,2.09,1085,1980.0,4454,0.4445,0.0646,0.1608,0.2505,0.0267,0.0514,0.67,48.44,3.81,3.01,99.79,0.0882,2043.93994140625,VMC,0.1728619600000001,0.73539105243401
2015-09-30,2.78,1.98,1144,1979.0,4363,0.4536,0.0512,0.1437,0.2329,0.0207,0.0402,0.91,55.3,3.53,2.68,89.58,0.0778,1920.030029296875,VMC,0.14947370000000015,0.799030662740798
2015-06-30,2.02,1.34,1022,1894.0,4227,0.4481,0.0358,0.1284,0.219,0.0139,0.027,0.36,67.25,3.4,2.57,84.06,0.0665,2063.110107421875,VMC,0.12857030000000003,0.5868986283848344
2015-03-31,1.7,1.22,1195,1888.0,4160,0.4538,0.0364,0.116,0.2071,0.0137,0.0267,-0.3,94.06,3.35,2.49,79.01,0.0582,2067.889892578125,VMC,0.1518507,2.1425335469952387
2014-12-31,2.04,1.33,920,1835.0,4177,0.4393,0.0685,0.1797,0.1964,0.0257,0.0497,0.28,95.51,3.46,2.53,79.27,0.0885,2058.89990234375,VMC,0.17503574999999993,0.6363961030678924
2014-09-30,2.62,1.78,955,1984.0,4201,0.4723,0.0603,0.1686,0.1833,0.0219,0.0433,0.5,40.09,2.74,1.95,61.73,0.0795,1972.2900390625,VMC,0.15776374999999998,0.494974746830584
2014-06-30,3.15,2.27,1102,1983.0,4086,0.4853,0.0525,0.1581,0.1696,0.0185,0.0377,0.35,42.5,2.57,1.77,56.52,0.0725,1960.22998046875,VMC,0.14660974999999987,0.24041630560342606
2014-03-31,3.09,2.19,1054,2007.0,4031,0.4979,0.0474,0.1553,0.1578,0.0163,0.034,0.41,52.43,2.76,1.91,59.77,0.0691,1872.3399658203125,VMC,0.10127990999999992,2.757716446627535
2013-12-31,3.18,2.03,951,2522.0,3938,0.6404,0.0087,0.0689,0.1541,0.0029,0.0063,0.08,61.63,2.92,2.02,62.24,0.0301,1848.3599853515625,VMC,0.061621060000000005,0.03535533905932756
2013-09-30,3.07,2.16,1101,2523.0,3863,0.6531,0.0067,0.0715,0.1441,0.0022,0.0048,0.31,308.98,2.63,1.84,55.62,0.0306,1681.550048828125,VMC,0.0550252200000001,0.48790367901871773
2013-06-30,2.33,1.46,912,2524.0,3814,0.6618,-0.0034,0.057,0.1366,-0.0011,-0.0024,0.22,346.32,2.35,1.63,48.49,0.0237,1606.280029296875,VMC,0.03711047000000023,0.7495331880577404
2013-03-31,1.97,1.25,927,2525.0,3715,0.6797,-0.0218,0.0319,0.1285,-0.0069,-0.0149,-0.42,0.0,2.26,1.54,45.29,0.0131,1569.18994140625,VMC,0.026878160000000095,0.03535533905932725
2012-12-31,2.26,1.49,985,2526.0,3761,0.6716,-0.0206,0.0335,0.1301,-0.0065,-0.0141,0.02,0.0,2.45,1.69,48.36,0.0136,1426.18994140625,VMC,0.01745168000000019,0.6929646455628165
2012-09-30,1.66,1.13,1049,2527.0,3767,0.6708,-0.0326,0.0093,0.1278,-0.0102,-0.0223,0.11,0.0,2.46,1.68,48.68,0.0038,1440.6700439453125,VMC,0.015444079999999971,0.551543289325507
2012-06-30,1.54,1.0,951,2528.0,3743,0.6754,-0.0299,0.0288,0.122,-0.0095,-0.0206,-0.14,0.0,2.23,1.52,44.23,0.0116,1362.1600341796875,VMC,0.023638040000000027,0.0212132034355966
2012-03-31,1.91,1.2,919,2670.0,3746,0.7128,-0.026,0.0298,0.1197,-0.0082,-0.0178,-0.4,0.0,1.85,1.28,37.12,0.0119,1408.469970703125,VMC,0.021614240000000118,0.16263455967290608
2011-12-31,2.13,1.32,863,2681.0,3792,0.707,-0.0277,0.0246,0.1107,-0.0085,-0.0184,-0.22,0.0,1.98,1.38,39.93,0.0096,1257.5999755859375,VMC,0.015758560000000088,0.24748737341529162
2011-09-30,2.64,1.8,1004,2816.0,3867,0.7282,-0.0355,0.0158,0.1029,-0.0108,-0.0231,0.15,0.0,1.86,1.25,36.77,0.0061,1131.4200439453125,VMC,0.003484139999999858,0.6151828996322963
2011-06-30,2.04,1.29,894,2786.0,3872,0.7195,-0.0385,-0.0068,0.108,-0.0116,-0.0246,-0.06,0.0,1.31,0.86,25.74,-0.0026,1320.6400146484375,VMC,-0.008783880000000077,0.2545584412271571
2011-03-31,1.21,0.69,767,2428.0,3896,0.6232,-0.0443,-0.0153,0.1148,-0.0134,-0.0284,-0.42,0.0,1.83,1.19,35.72,-0.0062,1325.8299560546875,VMC,-0.00858511999999989,0.26870057685088805
2010-12-31,1.33,0.78,774,2428.0,3956,0.6138,-0.0379,-0.0059,0.1177,-0.0115,-0.0242,-0.35,0.0,2.12,1.39,42.01,-0.0024,1257.6400146484375,VMC,-5.7599999999657925e-06,0.33941125496954283
2010-09-30,1.37,0.9,922,2433.0,4024,0.6046,-0.0246,0.0059,0.1241,-0.0074,-0.0156,0.1,0.0,2.03,1.32,40.63,0.0024,1141.199951171875,VMC,0.01011848000000004,0.3747665940288702
2010-06-30,0.8,0.51,857,2001.0,4029,0.4966,-0.0085,0.0185,0.1328,-0.0026,-0.0054,-0.19,0.0,1.65,1.07,33.6,0.0077,1030.7099609375,VMC,0.02563705999999999,0.714177848998413
2022-03-31,2.79,1.69,1988,5102.0,6431,0.7933,0.1164,0.1651,0.2349,0.0491,0.1036,0.34,31.34,3.64,3.2,329.7,0.0862,4530.41015625,MLM,0.19090968000000008,0.7212489168102794
2021-12-31,2.69,1.69,2026,5101.0,6538,0.7802,0.1299,0.1799,0.2492,0.0562,0.1127,2.5,36.52,4.25,3.73,384.2,0.0964,4766.18017578125,MLM,0.21459192000000016,0.8061017305526645
2021-09-30,6.66,5.46,4001,5099.0,6358,0.802,0.143,0.1972,0.2603,0.0631,0.12,4.07,39.13,5.07,4.19,439.02,0.1078,4307.5400390625,MLM,0.2437270600000001,1.0535891039679548
2021-06-30,2.13,1.17,1616,2627.0,6128,0.4287,0.158,0.2158,0.2654,0.0716,0.1296,3.61,29.19,4.17,3.34,340.01,0.1227,4297.5,MLM,0.2627006900000002,0.14142135623731025
2021-03-31,3.73,2.2,1676,2627.0,5927,0.4432,0.1599,0.2202,0.2703,0.0726,0.1318,1.04,28.44,4.49,3.56,349.53,0.1247,3972.889892578125,MLM,0.2620258700000002,0.1838477631085022
2020-12-31,3.34,1.92,1668,2626.0,5893,0.4456,0.1524,0.2127,0.2647,0.0691,0.1285,2.93,27.37,4.37,3.51,333.12,0.1221,3756.070068359375,MLM,0.25450780000000006,0.28991378028648584
2020-09-30,3.27,1.85,1653,2625.0,5759,0.4558,0.1432,0.2043,0.2551,0.0645,0.1216,4.71,24.37,3.71,2.97,281.21,0.118,3363.0,MLM,0.24343959999999987,0.4101219330881976
2020-06-30,2.67,1.47,1587,2625.0,5494,0.4778,0.1312,0.1883,0.2531,0.0607,0.1162,3.49,21.74,3.12,2.52,232.57,0.1122,3100.2900390625,MLM,0.23532054000000002,0.10606601717798111
2020-03-31,1.7,1.05,1833,2624.0,5299,0.4952,0.1251,0.1837,0.2478,0.058,0.113,0.41,20.46,2.68,2.31,203.55,0.1107,2584.590087890625,MLM,0.23576481999999999,0.1343502884254437
2019-12-31,1.7,0.88,1427,2434.0,5353,0.4547,0.1291,0.1867,0.249,0.0603,0.1181,2.09,19.63,2.45,2.18,185.93,0.1126,3230.780029296875,MLM,0.23298332000000022,0.31112698372208053
2019-09-30,2.29,1.35,1578,2733.0,5304,0.5153,0.1241,0.1818,0.2464,0.0578,0.1138,3.96,28.14,3.63,3.2,274.11,0.1082,2976.739990234375,MLM,0.2142547399999999,0.8838834764831857
2019-06-30,1.87,1.08,1533,2732.0,5097,0.536,0.1137,0.1666,0.2332,0.0515,0.1016,3.01,29.3,3.61,3.16,268.13,0.0957,2941.760009765625,MLM,0.19770966999999984,0.18384776310850096
2019-03-31,1.81,0.96,1370,2801.0,4975,0.563,0.1146,0.1646,0.228,0.0518,0.1018,0.68,27.94,3.17,2.75,224.61,0.0931,2834.39990234375,MLM,0.19180693000000004,0.19798989873223286
2018-12-31,1.74,0.89,1366,2730.0,4949,0.5516,0.1105,0.1628,0.2276,0.0498,0.0966,1.5,24.64,2.82,2.46,195.92,0.0903,2506.85009765625,MLM,0.19475074000000014,0.38890872965260037
2018-09-30,1.88,1.04,1455,2830.0,4942,0.5726,0.1793,0.1733,0.238,0.081,0.157,2.85,22.47,2.49,2.11,166.96,0.0958,2913.97998046875,MLM,0.20527042000000018,0.28991378028648457
2018-06-30,2.06,1.14,1457,2899.0,4855,0.5971,0.1782,0.1755,0.2405,0.0825,0.1561,2.92,14.84,2.66,2.24,176.31,0.0999,2718.3701171875,MLM,0.2092300600000001,0.03535533905932788
2018-03-31,4.0,3.07,2602,2728.0,4680,0.5829,0.1735,0.1687,0.2383,0.0825,0.1522,0.16,18.9,3.36,2.8,215.89,0.0994,2640.8701171875,MLM,0.22319244000000005,0.933380951166243
2017-12-31,3.79,2.93,2631,2727.0,4682,0.5824,0.1798,0.1765,0.2451,0.0906,0.1649,5.94,18.6,3.22,2.69,200.0,0.1126,2673.610107421875,MLM,0.24266294,0.30405591591021647
2017-09-30,2.73,1.5,1278,1643.0,4334,0.3791,0.1103,0.1711,0.238,0.0584,0.1039,2.39,18.9,3.39,2.86,212.79,0.1169,2519.360107421875,MLM,0.25215659,0.29698484809834863
2017-06-30,2.33,1.3,1244,1642.0,4201,0.3909,0.1116,0.1745,0.2373,0.0598,0.1066,2.25,28.88,3.18,2.87,198.12,0.1211,2423.409912109375,MLM,0.2542866800000001,0.16263455967290497
2017-03-31,1.78,0.93,1123,1556.0,4076,0.3817,0.1089,0.1727,0.2357,0.0576,0.103,0.67,30.66,3.42,3.19,213.38,0.1188,2362.719970703125,MLM,0.25406291999999997,0.14849242404917432
2016-12-31,1.99,1.03,1086,1506.0,4143,0.3635,0.1113,0.1775,0.2385,0.0587,0.1045,1.55,31.6,3.43,3.22,208.84,0.1209,2238.830078125,MLM,0.2555200900000001,0.05656854249492385
2016-09-30,1.97,1.13,1192,1537.0,4158,0.3696,0.1101,0.1809,0.2355,0.0572,0.1011,2.49,31.91,3.54,3.23,211.58,0.1201,2168.27001953125,MLM,0.2411828100000002,0.8485281374238566
2016-06-30,1.87,1.03,1122,1541.0,4017,0.3836,0.0996,0.1646,0.2288,0.0515,0.0904,1.9,26.93,2.97,2.61,170.73,0.1081,2098.860107421875,MLM,0.21536408000000007,0.7990306627407993
2016-03-31,2.03,1.04,998,1575.0,3946,0.3991,0.0902,0.1523,0.2194,0.0459,0.0792,0.69,32.67,3.24,2.88,182.62,0.0968,2059.739990234375,MLM,0.18991831999999986,0.8414570696119912
2015-12-31,2.95,1.67,1082,1550.0,4060,0.3818,0.0817,0.1396,0.2054,0.0403,0.0681,1.26,30.83,2.77,2.44,151.4,0.0849,2043.93994140625,MLM,0.1697391800000001,0.4737615433949868
2015-09-30,2.64,1.83,1516,1554.0,4253,0.3654,0.0761,0.1299,0.1977,0.0373,0.0626,1.74,30.13,2.46,2.05,129.27,0.0782,1920.030029296875,MLM,0.1504394,0.7919595949289333
2015-06-30,4.21,2.89,1530,1638.0,4310,0.38,0.0593,0.1146,0.1829,0.0284,0.0474,1.22,36.05,2.61,2.23,143.46,0.067,2063.110107421875,MLM,0.14147660000000006,0.19798989873223347
2015-03-31,3.05,1.58,1046,1562.0,4342,0.3597,0.0571,0.1109,0.1773,0.0293,0.0503,0.07,43.99,2.48,1.43,133.28,0.0698,2067.889892578125,MLM,0.14843030000000002,0.26162950903902205
2014-12-31,2.63,1.41,1044,1571.0,4353,0.3609,0.0527,0.1065,0.1768,0.0295,0.0527,1.12,42.64,2.41,2.04,131.32,0.0735,2058.89990234375,MLM,0.15401249999999989,0.10606601717798238
2014-09-30,2.78,1.69,1213,1604.0,4376,0.3665,0.0484,0.0978,0.1734,0.0298,0.0565,0.79,40.68,1.93,1.6,103.34,0.075,1972.2900390625,MLM,0.17884499999999992,1.5273506473629428
2014-06-30,3.58,2.16,877,1072.0,1567,0.6841,0.0633,0.1092,0.1759,0.0442,0.0944,1.27,51.02,2.39,1.85,120.4,0.0966,1960.22998046875,MLM,0.1925524999999999,0.6434671708797584
2014-03-31,3.91,2.08,758,1056.0,1544,0.6839,0.0577,0.1027,0.1714,0.0388,0.0838,-0.47,39.53,2.47,3.64,122.93,0.0875,1872.3399658203125,MLM,0.1808075,0.12020815280171303
2013-12-31,3.59,1.94,755,1019.0,1575,0.647,0.0561,0.1016,0.1689,0.0373,0.0817,0.79,43.62,2.51,3.58,119.1,0.0858,1848.3599853515625,MLM,0.1704924000000001,0.5515432893255072
2013-09-30,3.74,2.19,846,1107.0,1499,0.7385,0.0507,0.0934,0.1611,0.0332,0.0738,1.54,35.69,1.98,2.72,92.43,0.078,1681.550048828125,MLM,0.1550769999999999,0.45961940777125615
2013-06-30,4.19,2.38,806,1087.0,1441,0.7543,0.0481,0.0884,0.1576,0.0306,0.0679,0.89,39.66,1.98,2.79,90.42,0.0715,1606.280029296875,MLM,0.14329049999999977,0.31819805153394587
2013-03-31,4.24,2.18,716,1073.0,1410,0.761,0.0465,0.0836,0.1563,0.0294,0.0654,-0.61,42.99,2.04,2.9,90.28,0.067,1569.18994140625,MLM,0.133154,0.3535533905932738
2012-12-31,4.04,2.12,700,1042.0,1450,0.7186,0.0418,0.0773,0.1609,0.0265,0.0593,0.48,46.39,2.12,3.05,93.24,0.062,1426.18994140625,MLM,0.11934800000000001,0.5656854249492379
2012-09-30,3.62,2.07,785,1092.0,1470,0.7429,0.0399,0.0701,0.1639,0.0244,0.0544,1.36,47.41,1.94,2.72,85.81,0.054,1440.6700439453125,MLM,0.10617300000000007,0.3181980515339465
2012-06-30,3.82,2.15,760,1137.0,1417,0.8024,0.0344,0.0671,0.1653,0.0201,0.0445,0.8,44.96,1.76,2.34,75.08,0.0495,1362.1600341796875,MLM,0.10459875000000007,0.21213203435596414
2012-03-31,3.79,1.99,702,1127.0,1398,0.8062,0.0354,0.0736,0.1709,0.0199,0.0436,-0.81,51.47,1.75,2.3,71.03,0.0525,1408.469970703125,MLM,0.12038624999999992,0.8485281374238571
2011-12-31,3.79,1.93,658,1053.0,1449,0.7267,0.0485,0.0946,0.1769,0.0262,0.057,0.32,56.41,1.97,2.51,76.71,0.0645,1257.5999755859375,MLM,0.1418891499999999,0.5798275605729691
2011-09-30,3.88,2.17,767,1038.0,1486,0.6985,0.0522,0.1119,0.1912,0.0264,0.0568,1.07,37.78,1.8,2.12,67.25,0.0727,1131.4200439453125,MLM,0.15476154999999991,0.2687005768508874
2011-06-30,2.84,1.56,746,979.0,1451,0.6747,0.0539,0.114,0.1916,0.0274,0.0592,0.78,31.5,1.61,1.72,56.07,0.0765,1320.6400146484375,MLM,0.1726314499999999,0.9050966799187811
2011-03-31,5.29,3.2,840,1162.0,1435,0.8098,0.0634,0.1268,0.1988,0.0333,0.072,-0.39,38.33,2.02,2.22,70.53,0.0893,1325.8299560546875,MLM,0.1842869599999999,0.14849242404917432
2010-12-31,1.81,0.95,696,782.0,1468,0.5327,0.0587,0.1204,0.1954,0.031,0.0679,0.33,35.14,2.19,2.5,78.71,0.0872,1257.6400146484375,MLM,0.1675440800000001,0.9404520189781089
2010-09-30,1.72,0.96,732,786.0,1457,0.5395,0.0494,0.1075,0.1913,0.0249,0.0559,1.13,38.56,2.22,2.5,80.6,0.0739,1141.199951171875,MLM,0.1543351100000001,0.0707106781186545
2010-06-30,1.71,0.94,708,812.0,1417,0.573,0.0526,0.1121,0.1963,0.0259,0.0598,1.18,39.38,1.9,2.09,66.94,0.0749,1030.7099609375,MLM,0.1462733599999999,0.6010407640085651
2018-06-30,1.49,1.48,2074.0,5.0,1852.0,0.0027,0.1049,0.0891,0.5264,0.0508,0.1191,0.62,75.82,8.81,8.08,137.99,0.0998,2718.3701171875,TTWO,0.9136294000000003,2.467802666341047
2018-03-31,1.4,1.39,2409.0,8.0,1489.0,0.0054,0.0965,0.0759,0.4992,0.0483,0.1267,0.8,75.39,7.65,7.25,118.36,0.0946,2640.8701171875,TTWO,0.8703272000000002,0.22627416997969038
2017-12-31,1.18,1.17,2448.0,14.0,1401.0,0.01,0.095,0.0836,0.4653,0.053,0.1463,0.21,66.97,6.23,7.49,97.78,0.1162,2673.610107421875,TTWO,0.98520308,5.706351724175444
2017-09-30,1.33,1.31,2456.0,52.0,1472.0,0.0353,0.0665,0.0644,0.4414,0.0386,0.1155,-0.03,69.48,6.14,8.96,109.78,0.0951,2519.360107421875,TTWO,0.36087614,36.154369722068175
2017-06-30,1.44,1.43,2113.0,213.0,1100.0,0.1936,0.088,0.096,0.4565,0.0534,0.1893,0.56,98.3,5.36,7.88,102.23,0.1526,2423.409912109375,TTWO,-0.00367609999999996,8.690342340782669
2017-03-31,1.3,1.29,2195.0,252.0,1004.0,0.251,0.0376,0.0517,0.4253,0.0228,0.0911,1.12,50.26,3.92,7.06,73.38,0.0824,2362.719970703125,TTWO,0.06765670000000013,3.93858477120907
2016-12-31,1.32,1.3,2451.0,259.0,821.0,0.3155,0.0082,0.0158,0.4215,0.0046,0.0206,-0.33,120.96,3.14,6.06,59.27,0.0233,2238.830078125,TTWO,-0.09437768000000002,7.452905473706211
2016-09-30,1.38,1.33,2371.0,512.0,583.0,0.8782,0.0007,-0.0039,0.4327,0.0004,0.0018,0.39,616.13,3.07,6.05,49.29,-0.0057,2168.27001953125,TTWO,-0.25104728,4.850752518939717
2016-06-30,1.57,1.56,1978.0,504.0,534.0,0.9438,0.0138,0.009,0.4462,0.0079,0.0363,-0.46,0.0,2.87,6.76,45.08,0.0124,2098.860107421875,TTWO,-0.35152872,3.6910973977937798
2016-03-31,1.68,1.66,2045.0,498.0,581.0,0.8571,-0.0057,-0.0078,0.4246,-0.0032,-0.0146,0.48,632.0,2.5,6.21,37.92,-0.0106,2059.739990234375,TTWO,-0.30155635999999997,8.22365186519955
2015-12-31,1.45,1.43,2106.0,492.0,527.0,0.9336,-0.2201,-0.2231,0.2403,-0.1227,-0.5392,-0.51,0.0,2.54,5.61,37.67,-0.2896,2043.93994140625,TTWO,-0.15767482,3.132483040656406
2015-09-30,1.62,1.6,1965.0,488.0,564.0,0.8652,-0.148,-0.1191,0.2877,-0.093,-0.3483,0.55,0.0,2.3,5.76,34.84,-0.1579,1920.030029296875,TTWO,-0.08227077999999999,2.5385133444597052
2015-06-30,1.73,1.71,1908.0,482.0,527.0,0.9146,-0.2524,-0.2338,0.2346,-0.1464,-0.4677,-0.81,0.0,1.89,4.43,28.73,-0.2531,2063.110107421875,TTWO,0.044426999999999994,6.639732675341682
2015-03-31,1.84,1.82,1780.0,473.0,563.0,0.8401,-0.2579,-0.2384,0.2652,-0.1439,-0.3827,-2.94,0.0,2.03,4.62,27.57,-0.2157,2067.889892578125,TTWO,0.19454800000000017,3.2809754647055804
2014-12-31,2.55,2.52,1806.0,470.0,815.0,0.5767,-0.0338,-0.0409,0.4964,-0.018,-0.0418,0.42,0.0,2.15,3.99,25.46,-0.032,2058.89990234375,TTWO,0.4998834000000003,16.058395000746494
2014-06-30,4.33,4.25,1234.0,459.0,783.0,0.5862,0.1492,0.1847,0.4106,0.172,0.479,-0.45,6.93,1.07,2.7,23.07,0.366,1960.22998046875,TTWO,0.08617618999999999,5.784133470105959
2014-03-31,2.95,2.89,1399.0,454.0,802.0,0.5661,0.1365,0.1761,0.3981,0.1618,0.4703,0.62,9.11,1.03,2.51,22.24,0.3692,1872.3399658203125,TTWO,-0.11264045,8.244865068635145
2022-03-31,0.7,0.0,2274,2456.0,118,20.8136,0.1639,0.1854,0.6964,0.1122,2.3728,2.08,27.12,4.47,176.6,256.83,0.3245,4530.41015625,IT,0.7480750999999999,0.33234018715768154
2021-12-31,0.78,0.0,2620,2457.0,371,6.6226,0.1675,0.1933,0.6953,0.1112,1.492,2.48,31.41,5.17,204.54,297.46,0.3198,4766.18017578125,IT,0.7306537399999999,0.6010407640085614
2021-09-30,0.73,0.0,2109,2458.0,335,7.3373,0.1551,0.2,0.6927,0.099,0.9898,1.76,36.22,6.12,74.24,334.32,0.3113,4307.5400390625,IT,0.6497465300000003,3.7618080759124357
2021-06-30,0.78,0.0,2257,2458.0,528,4.6553,0.1306,0.1749,0.6881,0.0809,0.6449,3.13,37.7,5.86,75.34,303.88,0.2581,4297.5,IT,0.5098458099999998,4.101219330881974
2021-03-31,0.71,0.0,1998,1949.0,892,2.185,0.0851,0.1412,0.6803,0.051,0.355,1.84,37.32,4.91,38.62,242.2,0.2001,3972.889892578125,IT,0.39823651000000004,2.474873734152919
2020-12-31,0.79,0.0,2323,1958.0,1090,1.7963,0.0651,0.1198,0.672,0.0385,0.2664,1.33,45.98,3.91,17.83,182.55,0.1651,3756.070068359375,IT,0.3419621799999999,0.940452018978107
2020-09-30,0.74,0.0,1865,1957.0,1038,1.8854,0.0513,0.1072,0.6556,0.0312,0.2229,0.19,54.12,3.52,13.05,160.19,0.1518,3363.0,IT,0.3196172599999998,0.43133513652379357
2020-06-30,0.7,0.0,1767,1937.0,991,1.9546,0.057,0.1025,0.6475,0.0348,0.2556,0.61,52.5,2.69,10.77,124.95,0.1457,3100.2900390625,IT,0.3174404299999998,0.2969848480983499
2020-03-31,0.7,0.0,1773,2035.0,890,2.2865,0.0668,0.1039,0.6402,0.0419,0.3092,0.83,45.78,2.62,10.94,121.33,0.1499,2584.590087890625,IT,0.29260259,1.8243354954612927
2019-12-31,0.71,0.0,2019,2044.0,939,2.1768,0.0549,0.0872,0.6349,0.0341,0.2533,0.74,31.41,2.11,9.99,99.57,0.1241,3230.780029296875,IT,0.26146502000000016,0.1343502884254437
2019-09-30,0.68,0.0,1707,2052.0,920,2.2304,0.0603,0.0881,0.635,0.0378,0.2773,0.46,59.96,3.3,14.64,154.1,0.1222,2976.739990234375,IT,0.2528240800000001,0.4101219330881976
2019-06-30,0.68,0.0,1691,2059.0,964,2.1359,0.0543,0.0859,0.6352,0.0344,0.2435,1.13,52.19,3.16,13.91,142.99,0.1164,2941.760009765625,IT,0.23462676000000027,0.7424621202458754
2019-03-31,0.67,0.0,1716,2095.0,857,2.4446,0.0409,0.0799,0.6341,0.0261,0.1826,0.23,66.78,3.64,15.05,160.94,0.1059,2834.39990234375,IT,0.20001208999999998,1.470782104868019
2018-12-31,0.69,0.0,1812,2116.0,851,2.4865,0.0307,0.0654,0.6305,0.0194,0.1318,0.92,85.21,3.5,15.95,151.68,0.0851,2506.85009765625,IT,0.14879536999999998,1.8667619023324853
2018-09-30,0.66,0.0,1535,2077.0,942,2.2049,0.0372,0.0495,0.6258,0.0221,0.1513,0.13,96.12,2.95,13.48,127.84,0.0587,2913.97998046875,IT,0.09406058000000006,1.7889801564019654
2018-06-30,0.64,0.0,1608,2147.0,921,2.3312,0.0223,0.0305,0.6176,0.0124,0.0905,0.5,100.96,3.71,15.3,158.5,0.0334,2718.3701171875,IT,0.014488780000000201,3.6557420587344507
2018-03-31,0.73,0.0,2311,2186.0,988,2.2126,-0.0145,-0.0186,0.6053,-0.0075,-0.0575,-0.22,146.04,3.17,13.1,132.9,-0.0183,2640.8701171875,IT,-0.01977254999999989,1.1879393923933999
2017-12-31,0.92,0.0,2589,2899.0,983,2.9491,0.0009,-0.0015,0.6014,0.0005,0.0043,1.17,0.0,2.91,10.86,117.62,-0.0015,2673.610107421875,IT,0.014575850000000168,1.2445079348883235
2017-09-30,0.73,0.0,1812,2922.0,863,3.3859,-0.0127,0.0137,0.6,-0.0077,-0.0808,-0.53,4105.0,3.3,11.37,123.15,0.0161,2519.360107421875,IT,0.0813336200000001,3.401183617507293
2017-06-30,0.78,0.0,1760,3140.0,854,3.6768,0.0146,0.0415,0.6027,0.0107,0.1587,-1.03,0.0,3.62,13.06,124.41,0.0642,2423.409912109375,IT,0.39325064,17.324116139070416
2017-03-31,1.48,0.0,2176,1599.0,103,15.5243,0.0732,0.1174,0.6139,0.0714,7.2871,0.43,224.56,3.84,13.11,123.51,0.3092,2362.719970703125,IT,0.8728105999999998,8.577205255792821
2016-12-31,0.92,0.0,1343,664.0,61,10.8852,0.079,0.1248,0.6133,0.0843,-6.713,0.79,50.23,3.6,87.19,107.99,0.4305,2238.830078125,IT,1.0483329499999998,0.09899494936611705
